tempo,tensao
0.0,123.0
0.01,134.0
0.02,184.0
0.03,199.0
0.04,173.0
0.05,117.0
0.06,54.0
0.07,12.0
0.08,0.0
0.08,17.0
0.09,63.0
0.1,120.0
0.11,176.0
0.12,199.0
0.13,182.0
0.14,131.0
0.16,66.0
0.16,20.0
0.17,0.0
0.18,10.0
0.19,50.0
0.2,107.0
0.21,166.0
0.22,198.0
0.23,189.0
0.24,144.0
0.25,80.0
0.26,29.0
0.27,1.0
0.28,5.0
0.29,33.0
0.3,86.0
0.31,143.0
0.32,189.0
0.33,198.0
0.34,166.0
0.35,107.0
0.36,45.0
0.37,8.0
0.38,0.0
0.39,19.0
0.39,66.0
0.4,124.0
0.41,178.0
0.42,199.0
0.44,180.0
0.45,127.0
0.46,63.0
0.47,18.0
0.47,0.0
0.48,12.0
0.49,53.0
0.5,110.0
0.51,168.0
0.52,198.0
0.53,188.0
0.54,140.0
0.55,77.0
0.56,26.0
0.57,1.0
0.58,6.0
0.59,36.0
0.6,89.0
0.61,146.0
0.62,190.0
0.63,197.0
0.64,163.0
0.65,103.0
0.66,42.0
0.67,6.0
0.68,1.0
0.69,21.0
0.7,69.0
0.7,127.0
0.71,180.0
0.73,199.0
0.74,178.0
0.75,124.0
0.76,60.0
0.77,16.0
0.78,0.0
0.78,13.0
0.79,56.0
0.8,114.0
0.81,171.0
0.82,199.0
0.83,186.0
0.84,137.0
0.85,73.0
0.86,24.0
0.87,0.0
0.88,7.0
0.89,39.0
0.9,93.0
0.91,149.0
0.92,192.0
0.93,196.0
0.94,161.0
0.95,100.0
0.96,39.0
0.97,5.0
0.98,1.0
0.99,24.0
1.0,73.0
1.01,131.0
1.02,182.0
1.03,199.0
1.04,176.0
1.05,120.0
1.06,57.0
1.07,14.0
1.08,0.0
1.08,15.0
1.09,59.0
1.1,117.0
1.11,173.0
1.12,199.0
1.13,184.0
1.14,134.0
1.15,70.0
1.16,22.0
1.17,0.0
1.18,9.0
1.19,42.0
1.2,96.0
1.21,152.0
1.22,193.0
1.23,195.0
1.24,158.0
1.25,96.0
1.26,42.0
1.27,6.0
1.28,1.0
1.29,22.0
1.3,70.0
1.3,128.0
1.31,180.0
1.33,199.0
1.34,178.0
1.35,123.0
1.36,59.0
1.37,15.0
1.38,0.0
1.38,14.0
1.39,57.0
1.4,114.0
1.41,171.0
1.42,199.0
1.43,186.0
1.44,137.0
1.45,73.0
1.46,24.0
1.47,0.0
1.48,7.0
1.49,39.0
1.5,93.0
1.51,150.0
1.52,192.0
1.53,196.0
1.54,160.0
1.55,100.0
1.56,39.0
1.57,5.0
1.58,1.0
1.59,24.0
1.6,73.0
