,amostras
0,552.61569825331
1,637.6903761492417
2,724.3719804944732
3,814.2762089477212
4,908.6367552203685
5,1008.1315539530108
6,1113.0272046268333
7,1223.4348369980523
8,1339.5430157241037
9,1461.3855148891828
10,1588.6504105457273
11,1720.8664943244482
12,1857.3042361856378
13,1996.7694124486393
14,2137.857587343974
15,2279.4005030293915
16,2420.817193931781
17,2562.240049049079
18,2704.0394403376404
19,2846.1156024766865
20,2987.9951666182437
21,3129.378837219607
22,3270.1062000256234
23,3409.8353164829623
24,3547.994240924947
25,3683.912163467313
26,3817.058561515852
27,3947.3592043608883
28,4075.212285214726
29,4200.966530585437
30,4324.440015843259
31,4444.97070777057
32,4561.794637179637
33,4674.366056253536
34,4782.288796818771
35,4885.077358023423
36,4982.161522511902
37,5073.104805444852
38,5157.878303020823
39,5236.842296537025
40,5310.377212739916
41,5378.7900210642
42,5442.57025324724
43,5502.344615365735
44,5558.534582343461
45,5611.24496966553
46,5660.314969316023
47,5705.354066032189
48,5745.938562712668
49,5781.722570010053
50,5812.308652554255
51,5837.305778539724
52,5856.521642118931
53,5870.001305382546
54,5878.136535004949
55,5881.703964267867
56,5881.4294859991305
57,5877.568550677231
58,5870.0069956386005
59,5858.574974857065
60,5843.303027651888
61,5824.569024608641
62,5803.0053229493715
63,5779.167632411604
64,5753.331815822746
65,5725.636525925785
66,5696.260467612373
67,5665.53704199439
68,5634.037190321672
69,5602.258926602799
70,5570.159575398726
71,5537.302387955278
72,5503.461451613321
73,5468.867066485652
74,5433.861767696778
75,5398.487551306129
76,5362.441945376311
77,5325.358444257821
78,5287.077908511058
79,5247.668078914966
80,5207.442912821117
81,5166.937777851025
82,5126.5214623939255
83,5086.125620660837
84,5045.393535978063
85,5003.964020249985
86,4961.798314403386
87,4919.254450172133
88,4876.891555562039
89,4835.310014622074
90,4794.879655585701
91,4755.564375237069
92,4717.195754316735
93,4679.762418693913
94,4643.36668908912
95,4608.24386595869
96,4574.848645239868
97,4543.548820735965
98,4514.3367549827335
99,4487.0419377610815
100,4461.704880123584
101,4438.6302451641905
102,4418.003100966695
103,4399.797991221179
104,4384.370665768941
105,4372.528903877856
106,4364.785404916404
107,4361.194846292978
108,4361.686151946021
109,4365.952748950878
110,4373.434374706395
111,4383.639571158455
112,4396.396918579897
113,4412.030137160213
114,4431.121033716631
115,4454.107805045937
116,4481.396364636053
117,4513.363760291908
118,4550.012827956317
119,4591.005377759899
120,4635.873244538979
121,4684.093223296717
122,4735.355996337122
123,4789.70376330622
124,4847.257319206729
125,4908.04511456084
126,4972.089278871532
127,5039.539913352361
128,5110.513636806528
129,5184.676703001896
130,5261.362452999002
131,5340.083299692484
132,5420.424205074217
133,5501.6051383805925
134,5582.675954827296
135,5662.90397377889
136,5741.727515107222
137,5818.640613735049
138,5893.126231852492
139,5964.748534345148
140,6033.496841003396
141,6099.739804490064
142,6163.901862356712
143,6226.562556300735
144,6288.481210397287
145,6350.083027500966
146,6411.051434378287
147,6470.487703280304
148,6527.434188073545
149,6581.303538053265
150,6631.80349178999
151,6678.642409553522
152,6721.6105538865895
153,6760.768572154085
154,6796.252423022327
155,6827.988087921976
156,6855.753353844787
157,6879.461599520462
158,6899.3082638173655
159,6915.5742314628615
160,6928.367795863487
161,6937.873743653979
162,6944.697399910746
163,6949.457987263272
164,6952.185541109273
165,6952.5439278950835
166,6950.464290298252
167,6946.215575497194
168,6940.053796837268
169,6932.021562406084
170,6921.884014466681
171,6909.1623083394725
172,6893.278290224169
173,6873.628815090355
174,6849.692488361607
175,6821.325763111112
176,6788.880762938848
177,6752.901929471156
178,6713.952576448121
179,6672.753437913564
180,6630.037767325037
181,6586.278492390752
182,6541.755668452926
183,6496.649484206572
184,6451.073532455966
185,6405.137164997143
186,6358.768503486127
187,6311.542290578347
188,6262.92534103036
189,6212.82410943943
190,6161.88698631116
191,6111.043880737879
192,6060.863255600571
193,6011.406489748275
194,5962.35156805084
195,5913.392959554133
196,5864.680278606404
197,5816.627969737499
198,5769.377608653204
199,5722.711803204663
200,5676.370636632333
201,5630.20077952263
202,5584.253990382439
203,5538.97962840608
204,5495.012995565513
205,5452.731204346886
206,5412.171484046685
207,5373.159846534896
208,5335.473747845191
209,5299.16354472681
210,5264.765535161885
211,5233.076357337476
212,5204.8638277614955
213,5180.762321315087
214,5161.091320162212
215,5145.787938703178
216,5134.574585917552
217,5127.080854179034
218,5122.883716157887
219,5121.525922414138
220,5122.487111433449
221,5125.295870578526
222,5129.957655269376
223,5137.137687587273
224,5147.7329439837795
225,5162.446856036602
226,5181.622093078929
227,5205.118195981719
228,5232.435682847559
229,5263.196490786273
230,5297.328288586927
231,5334.617412772748
232,5374.5545061253215
233,5416.809714907887
234,5461.430950778636
235,5508.493712638363
236,5557.865821633815
237,5609.424674325689
238,5663.094659995395
239,5718.452148624207
240,5774.805856686144
241,5831.814451923529
242,5889.529469849632
243,5947.918078322276
244,6006.818282977302
245,6066.13492693976
246,6125.739293055556
247,6185.265659125335
248,6244.072127874664
249,6301.485582914458
250,6357.200131168679
251,6411.3865440280215
252,6464.470661233342
253,6516.939830575268
254,6569.160569981609
255,6621.239280989641
256,6673.102160281793
257,6724.418720653421
258,6774.510719634163
259,6822.8378542600785
260,6869.332030623665
261,6914.005626722488
262,6956.566952082105
263,6996.385165573352
264,7032.611447724115
265,7064.421954170112
266,7091.387384850494
267,7113.624721012241
268,7131.457413664741
269,7145.091991021455
270,7154.688082411029
271,7160.396667385821
272,7162.30761012521
273,7160.61553862986
274,7155.509214806665
275,7146.859221771702
276,7134.490913853019
277,7118.652600513011
278,7100.043548727291
279,7079.350840226567
280,7056.677725365762
281,7031.535169123284
282,7003.26251904366
283,6971.319214872731
284,6935.496692135729
285,6896.0783671285735
286,6853.691358404781
287,6809.11787308134
288,6763.261060761185
289,6717.01895855284
290,6671.1863489654315
291,6626.323890630046
292,6582.5879124536605
293,6539.840664056491
294,6497.78241958616
295,6455.952939127699
296,6413.848596168156
297,6371.186783572628
298,6328.142943619317
299,6285.185757414345
300,6242.556491815038
301,6200.019401084534
302,6157.087665686627
303,6113.348101130804
304,6068.543343764758
305,6022.581140747202
306,5975.722479740989
307,5928.539243870604
308,5881.572460828798
309,5835.186169215421
310,5789.501784873699
311,5744.400483979518
312,5699.743429301025
313,5655.509291209051
314,5611.908978858338
315,5569.311480441353
316,5527.971497809772
317,5488.270729094561
318,5450.835400112544
319,5415.9278558591795
320,5383.228508485814
321,5352.244477845531
322,5322.577683977589
323,5294.100571876966
324,5267.133987085927
325,5242.293170477541
326,5220.256661056274
327,5201.662487559578
328,5186.78674742133
329,5175.476527771222
330,5167.805617797386
331,5164.37388275326
332,5165.698750516172
333,5171.897694981454
334,5182.993942471985
335,5199.001291231764
336,5219.721620200355
337,5244.702795553629
338,5273.524094984588
339,5306.054083425101
340,5342.299320660764
341,5382.093246460169
342,5425.073420106433
343,5470.900530360441
344,5519.36232741492
345,5570.441325902232
346,5624.261330822723
347,5680.726714249565
348,5739.392401073966
349,5799.659910378464
350,5860.915269723145
351,5922.680296412136
352,5984.6851904458235
353,6046.630226774578
354,6108.034374117804
355,6168.683750895821
356,6229.00458067196
357,6289.400175402716
358,6349.588145117649
359,6409.071690177558
360,6467.6125646762575
361,6525.128905989647
362,6581.587858135377
363,6636.721048817849
364,6689.910284168576
365,6740.607520115538
366,6788.5035671062005
367,6833.259331210454
368,6874.51610029629
369,6912.209900956565
370,6946.520975425151
371,6977.550000512469
372,7005.283000019216
373,7029.680721397195
374,7050.765565148053
375,7068.942085899121
376,7085.020019993644
377,7099.677133897786
378,7113.246224968752
379,7125.795207094174
380,7136.940858479137
381,7145.979255375849
382,7152.383510155329
383,7155.801602098232
384,7155.775826970572
385,7151.900128576723
386,7144.079134083861
387,7132.540539541863
